DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
39838,AP,6159.401,6078.456,6039.938,6052.04,6106.746,6297.894,6491.462,6758.942,6887.707,6843.52,6699.039,6534.269,6441.859,6309.492,6264.307,6270.732,6461.913,6832.45,7077.841,7092.197,7046.126,6810.236,6502.488,6254.111
39839,AP,6064.685,5978.042,5960.148,6016.892,6166.19,6482.993,7051.479,7403.162,7388.08,7397.89,7302.682,7241.609,7114.01,7026.855,6954.655,6968.948,7095.274,7393.182,7561.088,7495.039,7355.208,7043.895,6694.736,6279.44
39840,AP,5973.728,5936.238,5902.051,5876.926,6024.379,6380.888,6861.277,7137.197,7198.824,7239.557,7293.617,7273.912,7167.221,7132.042,7038.559,7045.596,7110.223,7440.375,7595.208,7539.381,7300.883,7016.036,6637.474,6230.76
39841,AP,5965.393,5865.156,5813.834,5841.1,5890.911,6173.686,6502.032,6694.653,6843.736,7007.323,7060.035,7057.206,7020.232,7012.989,6966.258,6859.065,6956.371,7196.134,7399.649,7343.499,7199.938,6929.367,6554.669,6216.952
39842,AP,5976.712,5869.99,5847.794,5950.872,6064.046,6395.174,6858.098,7182.698,7239.784,7154.174,7000.111,6826.523,6640.712,6560.882,6432.798,6337.543,6451.593,6839.373,7210.1,7215.215,7148.673,6954.856,6583.582,6260.925
39843,AP,6023.901,5978.785,5940.647,5982.712,6105.732,6465.957,6941.518,7193.195,7152.084,7002.529,6885.928,6809.655,6783.308,6659.986,6609.122,6612.723,6763.652,7048.335,7339.708,7294.764,7222.085,6996.797,6784.618,6466.806
39844,AP,6218.578,6128.144,6098.281,6139.026,6209.957,6363.817,6561.935,6831.743,6988.979,7001.506,6973.429,6827.964,6560.395,6373.947,6211.463,6187.329,6314.064,6596.568,6884.673,6891.74,6785.58,6573.946,6266.803,5979.948
39845,AP,5724.577,5557.007,5514.036,5477.343,5520.736,5577.992,5724.577,5860.649,5944.069,5846.897,5712.949,5553.559,5448.58,5302.197,5156.684,5093.649,5143.217,5392.58,5552.551,5456.074,5503.722,5377.859,5290.134,5162.678
39846,AP,4913.883,4898.875,4864.913,4914.518,5018.443,5436.875,6164.003,6472.484,6418.961,6331.515,6296.907,6222.348,6208.275,6199.342,6172.883,6192.763,6384.922,6735.897,6926.63,6959.487,6865.727,6651.668,6277.31,5943.599
39847,AP,5700.022,5602.54,5577.661,5622.831,5716.114,6163.036,6718.627,6994.052,6882.031,6772.345,6685.901,6575.858,6531.093,6372.754,6353.384,6318.376,6478.879,6850.483,7220.632,7286.679,7162.804,6943.895,6622.919,6356.579
39848,AP,6126.604,6087.442,6006.172,6069.104,6235.533,6620.671,7273.697,7505.383,7540.733,7325.135,7290.355,7158.011,7040.107,7001.686,6953.926,6962.957,7092.169,7460.673,7820.664,7874.378,7804.036,7632.326,7278.405,7037.28
39849,AP,6859.261,6889.328,6893.631,6943.594,7141.721,7510.568,8080.369,8350.801,8218.464,8067.298,7851.51,7711.323,7536.257,7320.916,7157.123,7064.536,7118.142,7555.859,8011.046,8064.533,8060.75,7813.704,7446.68,7154.183
39850,AP,6803.363,6730.797,6670.263,6579.016,6706.819,6987.752,7569.673,7759.674,7607.464,7327.561,7018.343,6781.091,6499.676,6301.2,6135.523,6019.086,5986.153,6295.804,6714.916,6755.386,6654.292,6562.341,6269.046,5981.926
39851,AP,5761.29,5607.235,5595.843,5561.073,5538.405,5579.005,5736.922,5933.664,6033.738,6058.495,5919.568,5715.659,5456.248,5291.401,5180.395,5102.636,5157.276,5383.406,5591.298,5513.366,5372.639,5174.332,4916.344,4623.329
39852,AP,4403.712,4221.837,4138.682,4089.322,4089.128,4166.28,4331.092,4584.234,4754.948,4927.851,4947.286,4942.046,4900.479,4824.04,4779.786,4754.208,4795.457,5131.685,5576.279,5624.13,5635.935,5512.519,5217.532,4993.21
39853,AP,4852.816,4953.44,4970.817,5064.887,5233.795,5709.75,6452.972,6718.621,6590.543,6385.741,6211.904,6035.837,5793.322,5654.074,5530.152,5447.447,5594.026,5895.414,6250.82,6340.313,6211.706,5970.105,5606.136,5321.022
39854,AP,5079.747,4986.129,4944.868,4932.016,5053.723,5403.181,6062.201,6320.193,6280.217,6193.524,6162.192,6137.272,6034.391,5961.886,5882.758,5822.702,5955.859,6147.808,6397.093,6305.505,6151.24,5854.362,5436.11,5080.111
39855,AP,4811.798,4703.108,4644.656,4642.335,4680.037,5079.357,5655.845,5908.626,5724.206,5688.546,5675.743,5500.569,5427.856,5358.18,5237.807,5122.983,5203.051,5413.223,5734.854,5587.76,5281.945,5061.867,4766.902,4504.784
39856,AP,4232.434,4120.768,4070.03,4124.329,4261.242,4625.756,5261.675,5491.426,5528.222,5662.574,5757.58,5699.681,5614.475,5571.655,5476.916,5438.539,5603.204,5862.765,6242.816,6280.997,6218.334,5984.725,5637.376,5351.916
39857,AP,5118.311,4960.403,4899.741,4866.167,4999.8,5341.058,5931.646,6185.131,6209.117,6171.222,6103.577,6021.725,5940.899,5786.596,5664.146,5573.048,5600.904,5847.314,6232.392,6228.773,6200.782,6095.251,5853.489,5521.776
39858,AP,5294.063,5151.84,5130.452,5172.899,5206.881,5306.822,5514.404,5686.547,5907.849,5990.284,6020.585,5919.348,5826.094,5715.572,5651.247,5641.81,5741.277,5873.01,6129.245,6104.696,5985.284,5851.721,5582.043,5367.509
39859,AP,5120.157,5042.265,4956.986,4970.377,5049.026,5146.098,5383.805,5544.752,5711.255,5773.17,5707.335,5623.903,5538.667,5474.773,5351.82,5352.542,5498.385,5769.041,6160.888,6233.367,6127.243,6014.57,5788.465,5523.381
39860,AP,5310.846,5326.597,5300.801,5329.928,5449.48,5776.413,6297.989,6499.923,6591.368,6653.788,6658.243,6584.106,6460.514,6412.414,6322.508,6293.9,6341.121,6575.48,6977.1,7042.739,6976.7,6703.16,6408.292,6079.155
39861,AP,5909.989,5870.487,5847.07,5903.883,6092.593,6494.23,7165.862,7302.468,7078.246,6785.185,6649.473,6439.205,6202.528,6115.947,6016.594,5845.036,5852.938,6124.623,6640.202,6763.04,6747.728,6457.752,6182.268,5805.26
39862,AP,5536.43,5409.49,5390.827,5403.413,5472.371,5838.124,6479.444,6697.501,6791.129,6729.043,6680.1,6613.197,6527.639,6490.585,6348.292,6317.767,6315.576,6388.96,6558.408,6622.505,6469.611,6180.101,5809.528,5366.982
39863,AP,5155.195,5093.659,5052.526,5058.915,5193.802,5555.466,6149.163,6433.166,6402.96,6435.778,6496.156,6478.833,6460.914,6461.282,6400.611,6407.292,6606.041,6908.25,7367.582,7475.008,7409.8,7194.415,6836.897,6494.429
39864,AP,6328.652,6215.08,6223.004,6264.325,6402.69,6783.549,7364.247,7511.084,7433.167,7337.735,7240.036,7142.489,6914.632,6744.689,6612.13,6489.585,6590.112,6773.235,7139.254,7112.286,6993.555,6836.085,6528.971,6279.239
39865,AP,6015.756,5959.249,5898.364,5930.333,6022.626,6161.646,6360.552,6534.925,6565.459,6499.786,6333.48,6149.904,5888.011,5740.634,5556.995,5433.121,5401.406,5636.474,6039.869,6105.591,6017.549,5885.253,5659.911,5356.062
39866,AP,5160.046,5043.222,4971.127,4934.513,4956.098,5059.441,5191.796,5429.96,5789.88,5947.597,5996.765,5944.912,5958.625,5927.395,5902.528,5911.745,6015.791,6366.444,6754.729,6827.284,6808.017,6609.273,6266.029,6014.881
39867,AP,5829.701,5836.079,5812.502,5869.338,5978.292,6371.921,6987.729,7165.322,7202.604,7116.358,7093.935,7009.156,6895.605,6858.974,6773.118,6757.845,6898.734,7137.307,7566.035,7674.027,7508.335,7292.61,6924.724,6535.295
39868,AP,6366.749,6305.545,6317.78,6375.293,6506.988,6939.714,7599.282,7746.561,7498.126,7200.232,7078.487,6882.332,6596.634,6500.842,6309.935,6098.243,6199.513,6449.406,6921.965,7126.639,7136.499,6931.639,6606.436,6351.926
39869,AP,6118.539,6061.893,6089.566,6149.027,6302.354,6635.527,7285.883,7339.299,7111.831,6810.175,6515.58,6271.051,6051.669,5892.871,5697.53,5581.417,5606.881,5799.638,6311.167,6419.741,6391.698,6127.684,5795.679,5460.688
39870,AP,5230.182,5108.341,5073.59,5029.428,5192.918,5517.56,6122.069,6261.246,6247.084,6126.232,6095.689,5923.309,5793.773,5705.587,5527.331,5460.272,5511.309,5682.25,6037.6,6100.69,6018.535,5800.697,5421.033,5056.315
39871,AP,4836.705,4723.208,4633.618,4633.004,4769.021,5043.123,5537.929,5765.877,5783.677,5726.094,5632.961,5615.504,5548,5453.367,5331.258,5283.353,5315.59,5429.376,5680.266,5715.626,5601.497,5441.786,5210.601,4932.899
39872,AP,4733.402,4638.334,4650.605,4645.877,4735.948,4896.704,5185.478,5411.045,5674.942,5864.556,5903.305,5835.849,5804.537,5641.773,5579.389,5607.088,5684.297,5843.716,6089.509,6066.897,5960.452,5830.053,5571.686,5285.653
39873,AP,5047.073,4940.212,4922.45,4956.9,4984.659,5138.437,5320.519,5447.692,5728.933,5811.244,5770.145,5696.267,5623.024,5530.438,5488.705,5565.792,5703.883,5936.474,6221.172,6274.048,6218.842,6046.321,5842.069,5697.563
39874,AP,5574.342,5594.037,5657.102,5780.552,5989.763,6391.121,6948.079,7248.633,7339.078,7430.162,7430.662,7316.248,7157.366,7119.669,6950.384,6872.888,6944.418,7224.623,7679.134,7868.81,7768.82,7549.161,7246.581,6973.854
