DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
5/17/2014,PS,3890.915,3683.732,3522.241,3443.167,3411.503,3413.254,3425.85,3570.442,3751.526,3874.333,3984.664,4000.341,4009.334,4047.694,4039.926,4023.31,4042.112,4126.25,4161.67,4184.643,4397.112,4377.241,4153.005,3902.965
5/18/2014,PS,3633.391,3452.986,3335.707,3256.787,3238.972,3196.095,3171.709,3241.048,3360.939,3473.854,3588.727,3714.814,3803.526,3825.484,3872.486,3864.338,3843.169,3924.054,3986.276,4086.645,4312.448,4300.93,4045.033,3743.312
5/19/2014,PS,3505.2,3368.583,3297.763,3287.545,3340.317,3503.303,3830.281,4198.188,4358.48,4468.201,4560.405,4595.592,4670.664,4782.08,4843.991,4863.655,4862.019,4839.198,4737.92,4736.909,4895.639,4791.621,4391.406,3996.86
5/20/2014,PS,3702.147,3535.558,3449.74,3413.147,3445.029,3583.709,3914.894,4303.149,4453.586,4601.27,4718.998,4792.871,4853.798,4956.626,5036.533,5102.638,5166.558,5191.331,5060.732,5047.867,5223.261,5050.755,4650.271,4250.894
5/21/2014,PS,3929.683,3746.236,3615.046,3579.324,3604.899,3769.078,4100.633,4569.944,4811.567,4960.606,5040.418,5111.419,5138.97,5175.217,5161.669,5165.958,5250.051,5187.196,5114.968,5118.482,5245.625,5093.549,4694.874,4301.597
5/22/2014,PS,3985.166,3810.425,3698.471,3634.494,3678.904,3866.155,4247.571,4679.737,4913.859,5045.496,5155.564,5207.056,5216.174,5181.503,5154.583,5191.664,5220.212,5150.128,5027.84,4993.346,5084.104,4935.424,4561.584,4186.288
5/23/2014,PS,3880.189,3716.684,3602.606,3558.726,3590.143,3735.101,4076.922,4498.57,4749.789,4900.313,4954.75,4964.764,4965.585,5009.331,5013.62,4955.58,4954.881,4953.667,4857.445,4840.534,4890.233,4730.581,4431.48,4103.275
5/24/2014,PS,3857.025,3624.228,3498.903,3431.73,3395.859,3400.797,3399.052,3532.099,3752.839,3965.943,4103.22,4153.935,4148.078,4134.263,4100.158,4175.377,4199.216,4235.938,4224.876,4205.046,4356.991,4358.426,4150.747,3902.259
5/25/2014,PS,3654.876,3477.004,3359.472,3291.724,3260.465,3200.141,3174.863,3258.963,3400.678,3561.437,3697.278,3813.038,3919.765,4056.944,4153.572,4203.135,4282.362,4398.726,4459.315,4427.086,4549.438,4567.866,4351.373,4083.129
5/26/2014,PS,3808.552,3610.814,3467.113,3408.541,3400.49,3425.592,3421.206,3534.314,3709.3,3932.121,4194.165,4406.472,4590.885,4740.075,4875.755,5060.354,5225.546,5304.298,5335.986,5314.458,5463.831,5454.037,5109.908,4699.221
5/27/2014,PS,4341.679,4101.804,3946.746,3854.158,3851.499,3961.497,4323.961,4831.513,5168.396,5474.071,5836.814,6090.198,6308.009,6555.994,6589.211,6706.689,6907.77,6881.636,6645.312,6433.628,6402.412,6181.565,5658.488,5097.918
5/28/2014,PS,4703.778,4399.906,4186.003,4049.092,4034.122,4144.328,4465.491,4867.596,5044.058,5152.412,5198.033,5183.803,5140.361,5103.021,5041.934,5010.643,4990.922,4961.999,4903.909,4886.48,4950.392,4782.978,4408.778,4035.466
5/29/2014,PS,3749.049,3583.02,3474.925,3435.976,3473.029,3626.352,3965.292,4365.414,4538.023,4635.516,4693.48,4701.982,4718.556,4760.488,4812.536,4842.266,4853.026,4849.429,4735.611,4743.931,4865.099,4755.47,4412.427,4034.979
5/30/2014,PS,3729.173,3575.974,3467.937,3425.674,3460.09,3596.47,3916.224,4305.301,4541.945,4710.287,4845.262,4960.516,5036.411,5113.632,5116.908,5156.704,5189.641,5185.865,5113.215,5029.496,5063.695,4977.603,4658.294,4286.426
5/31/2014,PS,3939.922,3705.498,3559.796,3467.595,3433.412,3396.024,3440.638,3602.525,3835.877,4022.867,4147.5,4226.243,4230.387,4270.968,4315.423,4337.898,4362.017,4379.373,4428.991,4441.831,4545.191,4542.359,4306.391,4016.166
6/1/2014,PS,3741.726,3535.289,3413.525,3340.104,3302.229,3230.853,3214.472,3315.244,3474.723,3643.468,3798.133,3921.322,4032.69,4119.316,4211.988,4335.692,4444.902,4569.841,4648.437,4628.902,4708.628,4712.524,4419.403,4057.623
6/2/2014,PS,3769.95,3579.092,3472.728,3424.827,3469.181,3582.543,3921.216,4356.41,4628.763,4841.247,5019.196,5146.89,5270.372,5438.131,5611.805,5797.119,5991.445,6100.425,6030.372,5942.015,5948.424,5836.018,5370.947,4893.056
6/3/2014,PS,4424.231,4157.849,3973.926,3880.117,3890.197,3996.764,4358.49,4835.504,5177.732,5505.396,5874.184,6228.886,6563.629,6874.15,7125.845,7327.478,7316.558,7002.741,6723.245,6558.289,6550.637,6409.903,5885.2,5306.203
6/4/2014,PS,4830.294,4524.853,4321.436,4186.875,4181.937,4290.569,4641.007,5112.187,5372.853,5618.445,5878.794,6107.796,6299.292,6506.239,6704.971,6894.338,6984.589,6869.29,6594.06,6441.913,6441.835,6245.468,5742.769,5196.713
